# created by LinkChecker at 2025-08-26 22:25:43+002
# Read the documentation at https://linkchecker.github.io/linkchecker/
# Write comments and bugs to https://github.com/linkchecker/linkchecker/issues
urlname;parentname;base;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
/references_to_review_papers_and_teaching_material;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/references_to_review_papers_and_teaching_material/' status: 301 Moved Permanently.;;True;http://localhost:4000/references_to_review_papers_and_teaching_material/;134;465;review papers and teaching material;3.0040740966796875e-05;505;3.1189301013946533;0;2;
/walkthrough;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/walkthrough/' status: 301 Moved Permanently.;;True;http://localhost:4000/walkthrough/;136;283;walkthrough;8.273124694824219e-05;67583;3.3496651649475098;0;2;
/faq;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/faq/' status: 301 Moved Permanently.;;True;http://localhost:4000/faq/;136;463;frequently asked questions;4.315376281738281e-05;32553;3.2140018939971924;0;2;
/discussion_list;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/discussion_list/' status: 301 Moved Permanently.;;True;http://localhost:4000/discussion_list/;136;534;email list;3.0040740966796875e-05;10911;2.951658010482788;0;2;
/video;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/video/' status: 301 Moved Permanently.;;True;http://localhost:4000/video/;138;201;online video lectures;3.981590270996094e-05;22404;2.8897249698638916;0;2;
/reading_data;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/reading_data/' status: 301 Moved Permanently.;;True;http://localhost:4000/reading_data/;140;113;importing your own data;3.981590270996094e-05;17149;2.799654960632324;0;2;
/getting_started/meg/ctf;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/ctf/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/ctf/;150;7;Getting started with CTF data;7.677078247070312e-05;60199;2.8127291202545166;0;2;
/getting_started/meg/bti;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/bti/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/bti/;151;7;Getting started with BTi/4D data;5.626678466796875e-05;45417;3.1516342163085938;0;2;
/getting_started/meg/neuromag;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/neuromag/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/neuromag/;152;7;Getting started with Neuromag/Elekta/Megin data;6.29425048828125e-05;41628;2.916085958480835;0;2;
/getting_started/meg/babysquid;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/babysquid/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/babysquid/;153;7;Getting started with BabySQUID data;3.504753112792969e-05;10916;3.100658893585205;0;2;
/getting_started/meg/yokogawa;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/yokogawa/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/yokogawa/;154;7;Getting started with Yokogawa data;0.00010418891906738281;109446;2.8604936599731445;0;2;
/getting_started/meg/ricoh;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/ricoh/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/ricoh/;155;7;Getting started with Ricoh data;8.893013000488281e-05;107506;2.9022929668426514;0;2;
/getting_started/meg/opm_fil;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/opm_fil/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/opm_fil/;156;7;Getting started with OPM data recorded at the FIL;4.291534423828125e-05;26341;2.758657932281494;0;2;
/getting_started/meg/cerca;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/cerca/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/cerca/;157;7;Getting started with Cerca OPM data;7.081031799316406e-05;57177;2.779087781906128;0;2;
/getting_started/meg/fieldline;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/meg/fieldline/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/meg/fieldline/;158;7;Getting started with FieldLine OPM data;6.890296936035156e-05;51045;3.0853312015533447;0;2;
/getting_started/eeg/brainvision;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/brainvision/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/brainvision/;164;7;Getting started with BrainVision Analyzer and Easycap;6.914138793945312e-05;41650;3.258976936340332;0;2;
/getting_started/eeg/1020;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/1020/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/1020/;165;7;Getting started with 20%, 10% and 5% electrode arrangements;3.409385681152344e-05;11073;3.2430520057678223;0;2;
/getting_started/eeg/antneuro;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/antneuro/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/antneuro/;166;7;Getting started with ANT-Neuro, ASA and EEProbe data;3.0994415283203125e-05;10197;2.9492990970611572;0;2;
/getting_started/eeg/b_alert;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/b_alert/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/b_alert/;167;7;Getting started with Advanced Brain Monitoring (ABM)’s B-Alert EEG data;4.673004150390625e-05;21649;3.255286931991577;0;2;
/getting_started/eeg/besa;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/besa/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/besa/;168;7;Getting started with BESA data;7.414817810058594e-05;45215;3.2797980308532715;0;2;
/getting_started/eeg/biosemi;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/biosemi/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/biosemi/;169;7;Getting started with BioSemi BDF data;7.081031799316406e-05;40700;3.440582752227783;0;2;
/getting_started/eeg/edf;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/edf/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/edf/;170;7;Getting started with EDF data;6.699562072753906e-05;47273;3.0934700965881348;0;2;
/getting_started/eeg/egi;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/egi/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/egi/;171;7;Getting started with EGI/Philips/Magstim data;6.699562072753906e-05;36797;3.1506059169769287;0;2;
/getting_started/eeg/nicolet;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/nicolet/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/nicolet/;172;7;Getting started with Nicolet data;4.076957702636719e-05;11875;3.238340139389038;0;2;
/getting_started/eeg/tmsi;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eeg/tmsi/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eeg/tmsi/;173;7;Getting started with TMSi data;5.793571472167969e-05;42224;3.123957872390747;0;2;
/getting_started/intracranial/blackrock;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/blackrock/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/blackrock/;179;7;Getting started with Blackrock data;3.1948089599609375e-05;12790;2.969458818435669;0;2;
/getting_started/intracranial/cyberkinetics;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/cyberkinetics/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/cyberkinetics/;180;7;Getting started with Cyberkinetics data;3.0994415283203125e-05;9241;3.2414159774780273;0;2;
/getting_started/intracranial/neuralynx;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/neuralynx/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/neuralynx/;181;7;Getting started with Neuralynx data;5.984306335449219e-05;41120;3.6375298500061035;0;2;
/getting_started/intracranial/neuralynx_fcdc;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/neuralynx_fcdc/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/neuralynx_fcdc/;182;7;Getting started with Neuralynx data recorded at the Donders Institute;6.103515625e-05;37627;3.570680856704712;0;2;
/getting_started/intracranial/plexon;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/plexon/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/plexon/;183;7;Getting started with Plexon data;3.790855407714844e-05;22220;3.427870988845825;0;2;
/getting_started/intracranial/animal;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/animal/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/animal/;184;7;Getting started with animal electrophysiology data, including spikes;3.695487976074219e-05;15215;3.3188259601593018;0;2;
/getting_started/intracranial/human_ecog;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/human_ecog/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/human_ecog/;185;7;Getting started with human intracranial electrophysiology data;3.3855438232421875e-05;8349;3.7052249908447266;0;2;
/getting_started/intracranial/nwb;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/intracranial/nwb/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/intracranial/nwb/;186;7;Getting started with Neurodata Without Borders (NWB) data;3.2901763916015625e-05;15042;4.093652009963989;0;2;
/getting_started/nirs/artinis;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/nirs/artinis/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/nirs/artinis/;192;7;Getting started with Artinis NIRS data;5.5789947509765625e-05;34418;4.208981037139893;0;2;
/getting_started/nirs/hitachi;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/nirs/hitachi/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/nirs/hitachi/;193;7;Getting started with Hitachi NIRS data;3.0994415283203125e-05;10869;4.227604150772095;0;2;
/getting_started/nirs/nirx;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/nirs/nirx/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/nirs/nirx/;194;7;Getting started with NIRx NIRS data;3.695487976074219e-05;11010;4.2568888664245605;0;2;
/getting_started/nirs/shimadzu;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/nirs/shimadzu/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/nirs/shimadzu/;195;7;Getting started with Shimadzu NIRS data;4.315376281738281e-05;10834;4.39316201210022;0;2;
/getting_started/nirs/snirf;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/nirs/snirf/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/nirs/snirf/;196;7;Getting started with SNIRF NIRS data;3.504753112792969e-05;13052;4.081053018569946;0;2;
/getting_started/eyetracker/eyelink;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/eyetracker/eyelink/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/eyetracker/eyelink/;202;7;Getting started with SR-Research EyeLink eye-tracker data;7.390975952148438e-05;57933;4.118978023529053;0;2;
/getting_started/motion/xsens;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/motion/xsens/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/motion/xsens/;208;7;Getting started with XSens motion capture data;3.886222839355469e-05;19326;3.9462180137634277;0;2;
/getting_started/otherdata/fmri;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/otherdata/fmri/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/otherdata/fmri/;214;7;Getting started with fMRI timeseries data;6.198883056640625e-05;51281;3.8901729583740234;0;2;
/getting_started/otherdata/video;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/otherdata/video/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/otherdata/video/;215;7;Getting started with video data;4.00543212890625e-05;12944;3.7560389041900635;0;2;
/getting_started/otherdata/audio;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/otherdata/audio/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/otherdata/audio/;216;7;Getting started with audio data;3.314018249511719e-05;11881;3.4630658626556396;0;2;
/getting_started/othersoftware/bids;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/bids/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/bids/;222;7;Getting started with BIDS;6.008148193359375e-05;51959;3.5802931785583496;0;2;
/getting_started/othersoftware/anywave;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/anywave/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/anywave/;223;7;Getting started with AnyWave;4.7206878662109375e-05;32072;3.4302430152893066;0;2;
/getting_started/othersoftware/seg3d;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/seg3d/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/seg3d/;224;7;Getting started with Seg3D;4.6253204345703125e-05;19505;3.247501850128174;0;2;
/getting_started/othersoftware/paraview;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/paraview/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/paraview/;225;7;Getting started with ParaView;5.793571472167969e-05;28833;3.102965831756592;0;2;
/getting_started/othersoftware/meshlab;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/meshlab/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/meshlab/;226;7;Getting started with MeshLab;4.100799560546875e-05;15272;3.141295909881592;0;2;
/getting_started/othersoftware/limo;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/limo/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/limo/;227;7;Getting started with LIMO EEG;4.601478576660156e-05;28584;3.19413685798645;0;2;
/getting_started/othersoftware/eeglab;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/eeglab/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/eeglab/;228;7;Getting started with data from EEGLAB;5.7220458984375e-05;39122;3.461327075958252;0;2;
/getting_started/othersoftware/spm;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/spm/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/spm/;229;7;Getting started with data from SPM;3.981590270996094e-05;23128;3.5802161693573;0;2;
/getting_started/othersoftware/loreta;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/loreta/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/loreta/;230;7;Getting started with data from LORETA;3.504753112792969e-05;12162;3.6263630390167236;0;2;
/getting_started/othersoftware/bioimage;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/bioimage/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/bioimage/;231;7;Getting started with data from the BIOIMAGE suite;7.295608520507812e-05;40822;3.631941080093384;0;2;
/getting_started/othersoftware/homer;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/homer/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/homer/;232;7;Getting started with data from Homer;3.790855407714844e-05;12252;3.299391984939575;0;2;
/getting_started/othersoftware/mne;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/mne/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/mne/;233;7;Getting started with MNE-Python;4.220008850097656e-05;26457;3.5810699462890625;0;2;
/getting_started/othersoftware/simnibs;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/othersoftware/simnibs/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/othersoftware/simnibs/;234;7;Getting started with SimNIBS;6.508827209472656e-05;47135;3.846728801727295;0;2;
/getting_started/realtime/bci;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/realtime/bci/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/realtime/bci/;240;7;Getting started with real-time analysis for BCI and neurofeedback;3.886222839355469e-05;21225;3.78566312789917;0;2;
/getting_started/realtime/headlocalizer;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/realtime/headlocalizer/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/realtime/headlocalizer/;241;7;Getting started with real-time MEG head localization;6.604194641113281e-05;48661;3.9209351539611816;0;2;
/getting_started/realtime/fmri;http://localhost:4000/getting_started/;;200 OK;Redirected to `http://localhost:4000/getting_started/realtime/fmri/' status: 301 Moved Permanently.;;True;http://localhost:4000/getting_started/realtime/fmri/;242;7;Getting started with real-time fMRI analysis;4.291534423828125e-05;27949;3.4441232681274414;0;2;
/tutorial/introduction;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/tutorial/introduction/' status: 301 Moved Permanently.;;True;http://localhost:4000/tutorial/introduction/;133;138;introduction tutorial;3.0994415283203125e-05;545;3.4509661197662354;0;2;
/example;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/example/' status: 301 Moved Permanently.;;True;http://localhost:4000/example/;135;120;example MATLAB scripts;4.410743713378906e-05;19600;3.5885467529296875;0;2;
/reference;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/reference/' status: 301 Moved Permanently.;;True;http://localhost:4000/reference/;137;11;reference documentation;5.7220458984375e-05;23988;3.6427199840545654;0;2;
/configuration;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/configuration/' status: 301 Moved Permanently.;;True;http://localhost:4000/configuration/;137;124;configuration index;0.00019693374633789062;237738;4.1832709312438965;0;2;
/references_to_implemented_methods;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/references_to_implemented_methods/' status: 301 Moved Permanently.;;True;http://localhost:4000/references_to_implemented_methods/;150;7;References to implemented methods;3.4809112548828125e-05;509;4.106227874755859;0;2;
/template;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/template/' status: 301 Moved Permanently.;;True;http://localhost:4000/template/;152;7;Template models and data;4.410743713378906e-05;9226;3.9991002082824707;0;2;
/development/realtime;http://localhost:4000/documentation/;;200 OK;Redirected to `http://localhost:4000/development/realtime/' status: 301 Moved Permanently.;;True;http://localhost:4000/development/realtime/;153;7;Real-time data processing;6.699562072753906e-05;55340;4.0757129192352295;0;2;
/development/issues;http://localhost:4000/support/;;200 OK;Redirected to `http://localhost:4000/development/issues/' status: 301 Moved Permanently.;;True;http://localhost:4000/development/issues/;140;254;issue;4.100799560546875e-05;11532;3.7083349227905273;0;2;
/contact;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/contact/' status: 301 Moved Permanently.;;True;http://localhost:4000/contact/;136;303;contact us;3.0279159545898438e-05;457;4.228132247924805;0;2;
/faq/can_i_organize_my_own_workshop;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/faq/can_i_organize_my_own_workshop/' status: 301 Moved Permanently.;;True;http://localhost:4000/faq/can_i_organize_my_own_workshop/;138;115;organize your own;3.409385681152344e-05;509;4.421497821807861;0;2;
/workshop/cuttingeegx;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/cuttingeegx/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/cuttingeegx/;156;13;CuttingEEG X;3.981590270996094e-05;23455;4.118507146835327;0;2;
/workshop/toolkit2024;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2024/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2024/;157;13;MEG/EEG toolkit;4.291534423828125e-05;32385;4.198144197463989;0;2;
/workshop/wired2024;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/wired2024/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/wired2024/;158;13;WIRED at ICM, Paris;5.0067901611328125e-05;15385;3.7619400024414062;0;2;
/workshop/sofia2024;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/sofia2024/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/sofia2024/;159;13;Sofia, Bulgaria;4.1961669921875e-05;15634;3.561155080795288;0;2;
/workshop/hamburg2023;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/hamburg2023/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/hamburg2023/;160;13;Hamburg, Germany;3.504753112792969e-05;14204;3.5884780883789062;0;2;
/workshop/toolkit2023;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2023/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2023/;161;13;MEG/EEG toolkit;4.1961669921875e-05;20731;3.3656721115112305;0;2;
/workshop/fitng2023;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/fitng2023/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/fitng2023/;162;13;FIT’NG;4.887580871582031e-05;24684;3.8415188789367676;0;2;
/workshop/practicalmeeg2022;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/practicalmeeg2022/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/practicalmeeg2022/;163;13;PracticalMEEG;3.886222839355469e-05;17329;3.927035093307495;0;2;
/workshop/femfuns2022;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/femfuns2022/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/femfuns2022/;164;13;FEMfuns workshop;2.9325485229492188e-05;13326;3.8648760318756104;0;2;
/workshop/bcbt2022;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/bcbt2022/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/bcbt2022/;165;13;Donders Cognition Brain and Technology school;3.2901763916015625e-05;16214;3.6372931003570557;0;2;
/workshop/toolkit2022;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2022/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2022/;166;13;MEG/EEG toolkit;4.00543212890625e-05;20705;3.7078168392181396;0;2;
/workshop/cuttingeeg2021;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/cuttingeeg2021/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/cuttingeeg2021/;167;13;CuttingEEG 2021;3.409385681152344e-05;13975;3.645486831665039;0;2;
/workshop/toolkit2021;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2021/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2021/;168;13;MEG/EEG toolkit;4.696846008300781e-05;22969;3.755195140838623;0;2;
/workshop/toolkit2020;http://localhost:4000/workshop/;;200 OK;Redirected to `http://localhost:4000/workshop/toolkit2020/' status: 301 Moved Permanently.;;True;http://localhost:4000/workshop/toolkit2020/;169;13;MEG/EEG toolkit;5.1975250244140625e-05;39952;3.750572919845581;0;2;
